City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Townsville,AU,2021-03-22 21:41:00,-19.25,146.8,75.2,100,75,2.73
155,Xichang,CN,2021-03-22 21:43:23,27.8964,102.2634,47.21,75,79,1.88
156,Georgetown,MY,2021-03-22 21:39:51,5.4112,100.3354,82.4,78,20,3.44
157,Santa Maria,BR,2021-03-22 21:39:31,-29.6842,-53.8069,75.2,78,75,9.22
158,Tuktoyaktuk,CA,2021-03-22 21:39:38,69.4541,-133.0374,-11.2,77,20,13.8
159,Dhidhdhoo,MV,2021-03-22 21:43:24,6.8833,73.1,83.05,71,36,2.82
160,Hasaki,JP,2021-03-22 21:39:27,35.7333,140.8333,39.2,100,20,2.3
161,Petropavlovsk-Kamchatskiy,RU,2021-03-22 21:43:24,53.0452,158.6483,32.0,80,75,17.9
162,Port Lincoln,AU,2021-03-22 21:40:04,-34.7333,135.8667,64.38,90,2,7.56
163,Nome,US,2021-03-22 21:40:19,64.5011,-165.4064,1.4,66,1,21.85
164,Middelburg,ZA,2021-03-22 21:43:24,-25.7751,29.4648,57.33,89,13,5.3
165,Muli,MV,2021-03-22 21:43:25,2.9167,73.5667,82.89,70,80,5.97
166,Chiang Kham,TH,2021-03-22 21:43:25,19.5233,100.3,73.99,94,20,2.3
167,Vestmannaeyjar,IS,2021-03-22 21:40:06,63.4427,-20.2734,37.99,60,100,33.02
168,Sitka,US,2021-03-22 21:39:33,57.0531,-135.33,41.0,75,75,8.05
169,Norman Wells,CA,2021-03-22 21:41:50,65.282,-126.8329,-2.2,60,75,3.44
170,Barrow,US,2021-03-22 21:37:20,71.2906,-156.7887,-14.8,64,1,6.91
171,Kokopo,PG,2021-03-22 21:43:25,-4.352,152.2633,80.04,74,95,3.02
172,Manaure,CO,2021-03-22 21:43:26,11.7751,-72.4445,85.08,56,90,11.65
173,Clyde River,CA,2021-03-22 21:40:15,70.4692,-68.5914,-18.4,63,20,14.97
