City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description 
262,Havre-Saint-Pierre,CA,50.2334,-63.5986,24.8,46,1,11.5,clear sky
263,Nalut,LY,30.3333,10.85,70.25,12,35,6.06,scattered clouds
264,Mae Hong Son,TH,19.3003,97.9685,80.83,36,8,1.59,clear sky
265,Aquin,HT,18.2833,-73.4,81.19,65,8,5.95,clear sky
266,Tuatapere,NZ,-46.1333,167.6833,57.99,90,96,1.01,overcast clouds
267,Oranjemund,NA,-28.55,16.4333,65.16,79,0,22.17,clear sky
268,Zheleznogorsk,RU,52.331,35.3711,33.44,99,100,3.44,overcast clouds
269,Chupa,RU,66.27,33.0549,36.61,90,100,10.33,overcast clouds
270,Namatanai,PG,-3.6667,152.4333,79.05,80,100,9.53,light rain
271,Naze,JP,28.3667,129.4833,66.85,84,100,20.11,overcast clouds
272,Sudislavl,RU,57.8817,41.7083,33.4,91,100,3.65,overcast clouds
273,Saint Anthony,US,45.0205,-93.218,46.0,81,90,4.61,moderate rain
274,Hastings,GB,50.8552,0.5729,52.0,50,73,7.0,broken clouds
275,Roseburg,US,43.2165,-123.3417,44.01,87,1,4.61,clear sky
276,Yaan,NG,7.3833,8.5667,100.2,10,47,9.86,scattered clouds
277,Gizo,SB,-8.103,156.8419,82.06,76,36,7.72,scattered clouds
278,Kavieng,PG,-2.5744,150.7967,81.32,79,92,13.27,moderate rain
279,Turkistan,KZ,43.0,68.0,58.98,56,94,7.11,overcast clouds
280,Pauini,BR,-7.7136,-66.9764,87.73,59,73,3.67,broken clouds
281,Ormara,PK,25.2088,64.6357,78.49,79,9,13.18,clear sky
282,Pilar,BR,-9.5972,-35.9567,75.2,100,75,9.22,mist
283,Verkhoshizhemye,RU,58.011,49.1038,28.24,91,97,6.08,overcast clouds
284,Pasir Gudang,MY,1.4584,103.8805,78.8,83,75,2.3,broken clouds
285,Virginia Beach,US,36.8529,-75.978,66.99,45,20,10.36,few clouds
286,Grand Forks,US,47.9417,-97.4337,39.2,52,1,16.11,clear sky
287,Ballina,AU,-28.8667,153.5667,64.4,94,0,8.43,clear sky
288,Sinnamary,GF,5.3833,-52.95,80.78,80,67,10.45,broken clouds
289,Portland,US,45.5234,-122.6762,46.99,71,20,1.79,few clouds
290,Vardo,NO,70.3705,31.1107,39.2,75,75,18.41,broken clouds
291,Hadgaon,IN,19.5,77.6667,86.76,11,0,6.26,clear sky
292,Biak,ID,-0.9131,122.8766,76.71,86,100,5.12,overcast clouds
293,Suruc,TR,36.9761,38.425,41.0,56,20,5.75,few clouds
294,Pacifica,US,37.6138,-122.4869,57.2,67,1,2.59,clear sky
295,Tateyama,JP,34.9833,139.8667,61.0,37,100,7.0,overcast clouds
296,Ribeira Grande,PT,38.5167,-28.7,62.6,82,75,11.5,broken clouds
297,Cornelio Procopio,BR,-23.1811,-50.6467,91.4,46,40,3.44,scattered clouds
298,Aswan,EG,24.0934,32.907,72.7,11,2,13.73,clear sky
299,Murgab,TM,37.4966,61.9714,62.6,77,40,4.61,light rain
300,Talaya,RU,61.3833,152.75,-19.14,96,80,3.47,broken clouds
301,Guerrero Negro,MX,27.9769,-114.0611,60.37,60,0,4.0,clear sky
302,Tiarei,PF,-17.5333,-149.3333,77.0,88,40,1.14,light rain
303,Inuvik,CA,68.3499,-133.7218,-14.8,76,92,3.47,overcast clouds
304,Astoria,US,46.1879,-123.8313,46.0,87,90,3.04,overcast clouds
305,Kaitong,CN,44.8135,123.15,50.23,55,2,17.78,clear sky
306,Dongsheng,CN,39.8161,109.9776,39.81,23,43,22.3,scattered clouds
307,Clyde River,CA,70.4692,-68.5914,-0.4,65,90,4.61,overcast clouds
308,Mercedes,AR,-34.6515,-59.4307,66.99,85,100,8.01,overcast clouds
309,Khorinsk,RU,52.1657,109.7726,19.29,90,100,5.17,overcast clouds
310,Broken Hill,AU,-31.95,141.4333,59.0,63,37,4.61,scattered clouds
311,Praia,CV,14.9215,-23.5087,75.2,57,40,33.38,scattered clouds
312,Linhares,BR,-19.3911,-40.0722,90.5,46,90,3.44,overcast clouds
313,Kachug,RU,53.9606,105.8817,10.76,96,28,3.58,scattered clouds
314,Antsohihy,MG,-14.8796,47.9875,74.7,95,96,3.31,moderate rain
315,Victoria Point,AU,-27.5833,153.3,69.01,97,0,4.21,clear sky
316,Guadalupe Y Calvo,MX,26.1,-106.9667,56.89,11,6,9.75,clear sky
317,Codrington,AU,-38.2667,141.9667,53.44,86,82,7.45,broken clouds
318,Price,US,39.5994,-110.8107,39.2,52,1,12.66,clear sky
319,Ariquemes,BR,-9.9133,-63.0408,86.65,62,19,2.66,few clouds
320,Alyangula,AU,-13.8483,136.4192,82.44,79,85,10.31,overcast clouds
321,Talnakh,RU,69.4865,88.3972,14.72,96,100,1.88,overcast clouds
322,Varca,IN,15.2167,73.9167,86.0,84,40,4.61,scattered clouds
323,Maumere,ID,-8.6199,122.2111,80.29,81,86,5.35,overcast clouds
324,Lompoc,US,34.6391,-120.4579,54.0,81,1,6.91,clear sky
325,Shaoyang,CN,27.2315,111.4525,59.92,92,40,0.56,scattered clouds
326,Avera,US,33.194,-82.5271,78.01,67,90,8.05,haze
327,Talcahuano,CL,-36.7167,-73.1167,68.0,45,0,12.66,clear sky
328,Kaabong,UG,3.4836,34.1492,75.51,36,100,6.62,overcast clouds
329,Hamilton,US,39.1834,-84.5333,60.01,72,1,4.61,clear sky
